
 
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2015-10-08,Thu,WCQ,WCQ — CONMEBOL (M),Away,W 2–0,uy Uruguay,bo Bolivia,N,,17,,,,,,,,,,,,,,,0,,,,,,,Match Report
2015-10-13,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,uy Uruguay,co Colombia,N,,73,,,,,,,,,,,,,,,1,,,,,,,Match Report
2015-11-12,Thu,WCQ,WCQ — CONMEBOL (M),Away,L 1–2,uy Uruguay,ec Ecuador,Y,,62,,,,,,,,,,,,,,,1,,,,,,,Match Report
2015-11-17,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,uy Uruguay,cl Chile,Y,,58,,,,,,,,,,,,,,,0,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-01,Thu,WCQ,WCQ — CONMEBOL (M),Away,L 0–1,uy Uruguay,ar Argentina,Y,,59,,,,,,,,,,,,,,,0,,,,,,,Match Report
2016-10-06,Thu,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,uy Uruguay,ve Venezuela,Y,,65,,,,,,,,,,,,,,,0,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-15,Tue,WCQ,WCQ — CONMEBOL (M),Away,L 1–3,uy Uruguay,cl Chile,N,,14,,,,,,,,,,,,,,,0,,,,,,,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,Tue,WCQ,WCQ — CONMEBOL (M),Home,W 4–2,uy Uruguay,bo Bolivia,N,,14,,,,,,,,,,,,,,,0,,,,,,,Match Report
2018-03-04,Sun,MLS,Regular Season,Home,L 0–1,Seattle,Los Angeles FC,Y*,DMAM,90,92,118,78.0,1703,599,42,48,87.5,35,44,79.5,15,25,60.0,0,0.5,6,9,3,1,17,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,Sat,MLS,Regular Season,Home,L 0–1,Seattle,Montreal Impact,Y*,AM,90,68,84,81.0,1370,502,24,26,92.3,29,36,80.6,12,17,70.6,0,0.3,4,7,2,1,7,Match Report
2018-04-15,Sun,MLS,Regular Season,Away,D 2–2,Seattle,Sporting KC,Y*,AM,90,47,61,77.0,729,158,26,31,83.9,17,23,73.9,3,6,50.0,0,0.2,2,3,0,0,1,Match Report
