 
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2020-07-10,Fri,MLS,Group Stage,Home,D 0–0,Seattle,San Jose,Y*,AM,90,25,36,69.4,452,107,10,14,71.4,13,16,81.3,1,4,25.0,0,0.1,2,3,1,0,3,Match Report
2020-07-14,Tue,MLS,Group Stage,Away,L 1–2,Seattle,Chicago Fire,Y*,AM,90,70,84,83.3,1329,292,29,31,93.5,29,35,82.9,10,15,66.7,0,0.0,0,10,2,0,10,Match Report
2020-07-19,Sun,MLS,Group Stage,Home,W 3–0,Seattle,Vancouver,Y*,AM,90,55,71,77.5,939,319,24,26,92.3,25,28,89.3,5,12,41.7,1,0.5,4,9,4,0,12,Match Report
2020-07-27,Mon,MLS,Round of 16,Home,L 1–4,Seattle,Los Angeles FC,Y*,AM,90,59,79,74.7,1052,288,28,30,93.3,21,27,77.8,9,19,47.4,0,0.0,0,4,1,0,7,Match Report
2020-08-23,Sun,MLS,Regular Season,Away,W 3–0,Seattle,Portland Timbers,Y*,AMCM,90,60,84,71.4,1047,269,23,28,82.1,30,35,85.7,5,15,33.3,0,0.3,1,10,5,0,9,Match Report
2020-08-30,Sun,MLS,Regular Season,Home,W 3–1,Seattle,Los Angeles FC,Y*,AM,77,47,70,67.1,669,184,27,32,84.4,14,21,66.7,2,6,33.3,1,0.6,1,5,0,0,5,Match Report
2020-09-02,Wed,MLS,Regular Season,Away,D 2–2,Seattle,Real Salt Lake,Y*,DM,90,51,68,75.0,877,330,31,36,86.1,9,12,75.0,9,16,56.3,0,0.0,0,6,2,1,5,Match Report
2020-09-06,Sun,MLS,Regular Season,Home,L 1–2,Seattle,Portland Timbers,Y*,AM,90,84,103,81.6,1459,439,40,46,87.0,29,30,96.7,12,23,52.2,0,0.3,3,13,3,0,10,Match Report
2020-09-10,Thu,MLS,Regular Season,Home,W 7–1,Seattle,San Jose,Y*,AM,84,57,64,89.1,1141,295,21,22,95.5,25,27,92.6,10,13,76.9,1,1.4,3,5,3,2,7,Match Report
2020-09-18,Fri,MLS,Regular Season,Home,W 3–0,Seattle,Los Angeles FC,Y*,AM,90,37,48,77.1,587,234,23,23,100.0,10,14,71.4,4,8,50.0,0,0.2,2,5,3,1,4,Match Report
2020-09-23,Wed,MLS,Regular Season,Away,L 0–1,Seattle,Portland Timbers,Y*,AMCM,90,93,118,78.8,1773,541,44,50,88.0,33,39,84.6,15,26,57.7,0,0.2,3,8,4,0,11,Match Report
2020-09-27,Sun,MLS,Regular Season,Away,W 3–1,Seattle,LA Galaxy,Y*,AMRM,90,64,77,83.1,1112,344,37,40,92.5,20,25,80.0,7,12,58.3,1,0.5,3,7,1,0,8,Match Report
2020-10-03,Sat,MLS,Regular Season,Home,W 3–1,Seattle,Vancouver,Y*,AM,90,82,103,79.6,1319,355,48,56,85.7,25,31,80.6,9,12,75.0,0,0.4,5,3,8,2,9,Match Report
2020-10-07,Wed,MLS,Regular Season,Home,W 2–1,Seattle,Real Salt Lake,Y*,AM,90,54,72,75.0,962,372,31,34,91.2,13,17,76.5,9,16,56.3,1,1.2,5,7,3,2,7,Match Report
2020-10-11,Sun,MLS,Regular Season,Away,L 1–3,Seattle,Los Angeles FC,Y*,AM,90,50,71,70.4,1000,412,21,29,72.4,18,22,81.8,9,18,50.0,0,0.5,3,7,5,1,10,Match Report
2020-10-18,Sun,MLS,Regular Season,Away,D 0–0,Seattle,San Jose,Y*,AM,90,37,51,72.5,793,337,17,23,73.9,11,15,73.3,7,11,63.6,0,0.0,0,8,1,0,7,Match Report
2020-10-22,Thu,MLS,Regular Season,Home,D 1–1,Seattle,Portland Timbers,Y*,AMLWRW,90,75,104,72.1,1365,548,40,44,90.9,18,26,69.2,15,30,50.0,0,0.4,5,14,6,1,14,Match Report
2020-10-27,Tue,MLS,Regular Season,Away,W 2–0,Seattle,Vancouver,Y*,AMLW,90,74,96,77.1,1308,497,37,44,84.1,26,33,78.8,9,16,56.3,0,0.0,0,9,2,0,13,Match Report
2020-11-01,Sun,MLS,Regular Season,Away,L 1–3,Seattle,Colorado Rapids,Y*,AM,90,58,79,73.4,935,272,36,41,87.8,18,24,75.0,3,9,33.3,0,0.0,0,6,2,0,6,Match Report
2020-11-04,Wed,MLS,Regular Season,Away,D 1–1,Seattle,LA Galaxy,Y*,AMDM,90,79,107,73.8,1415,530,41,48,85.4,25,32,78.1,11,19,57.9,0,0.3,7,10,3,2,5,Match Report
2020-11-08,Sun,MLS,Regular Season,Home,W 4–1,Seattle,San Jose,Y*,AM,90,55,74,74.3,1042,336,27,32,84.4,19,24,79.2,8,11,72.7,1,0.5,3,3,3,1,7,Match Report
2020-11-24,Tue,MLS,First Round,Home,W 3–1,Seattle,Los Angeles FC,Y*,AM,90,40,66,60.6,573,200,26,30,86.7,8,17,47.1,4,10,40.0,0,0.0,1,3,0,0,6,Match Report
2020-12-01,Tue,MLS,Conference Semifinals,Home,W 1–0,Seattle,FC Dallas,Y*,AM,90,60,80,75.0,1125,522,26,33,78.8,21,26,80.8,12,17,70.6,1,0.6,6,8,5,1,11,Match Report
2020-12-07,Mon,MLS,Conference Finals,Home,W 3–2,Seattle,Minnesota Utd,Y*,AM,90,66,88,75.0,1208,450,29,35,82.9,26,29,89.7,9,18,50.0,1,0.2,2,8,4,0,10,Match Report
2020-12-12,Sat,MLS,MLS Cup 2020,Away,L 0–3,Seattle,Columbus Crew,Y*,AM,90,51,66,77.3,1019,546,19,21,90.5,19,20,95.0,11,21,52.4,0,0.2,5,9,0,0,6,Match Report
,,,,,13-5-7,,,25/25,,2231,1483,1959,75.7,26501,9019,735,848,86.7,505,625,80.8,205,377,54.4,8,8.4,64,180,71,14,202,
